group_keyword,group_sentence_1,video_id,youtube,school_zh,school_total_videos,township_slug,township_total_videos,decision,reason
color (n),some pieces of art aren't finished until the artist has added color.,dQj-nfchySI,https://www.youtube.com/watch?v=dQj-nfchySI,彰化縣彰化市聯興國小,17,changhua-city,387,KEEP,kept: smallest school count (17 videos)
color (n),some pieces of art aren't finished until the artist has added color.,bEiBlPDBZN0,https://www.youtube.com/watch?v=bEiBlPDBZN0,彰化縣大村鄉村東國小,35,dacun,49,DROP,dropped: same as dQj-nfchySI (彰化縣彰化市聯興國小)
color (n),some pieces of art aren't finished until the artist has added color.,wtN0abgAkGc,https://www.youtube.com/watch?v=wtN0abgAkGc,彰化縣芬園鄉文德國小,38,fenyuan,48,DROP,dropped: same as dQj-nfchySI (彰化縣彰化市聯興國小)
color (n),some pieces of art aren't finished until the artist has added color.,BcHBhkD8vh8,https://www.youtube.com/watch?v=BcHBhkD8vh8,彰化縣伸港鄉新港國小,44,shenkang,149,DROP,dropped: same as dQj-nfchySI (彰化縣彰化市聯興國小)
serve (v),the pe teacher shows her students how to serve the volleyball.,kCiqcTdEK-Q,https://www.youtube.com/watch?v=kCiqcTdEK-Q,彰化縣北斗鎮大新國小,17,beidou,199,KEEP,kept: smallest school count (17 videos)
serve (v),the pe teacher shows her students how to serve the volleyball.,cdUswx5lRGg,https://www.youtube.com/watch?v=cdUswx5lRGg,彰化縣彰化市聯興國小,17,changhua-city,387,DROP,dropped: same as kCiqcTdEK-Q (彰化縣北斗鎮大新國小)
anniversary (n),the elementary school is celebrating their school anniversary.,CKFkPzJaKxY,https://www.youtube.com/watch?v=CKFkPzJaKxY,彰化縣二林鎮廣興國小,37,erlin,114,KEEP,kept: smallest school count (37 videos)
anniversary (n),the elementary school is celebrating their school anniversary.,-nhK7e1cXKc,https://www.youtube.com/watch?v=-nhK7e1cXKc,彰化縣芬園鄉文德國小,38,fenyuan,48,DROP,dropped: same as CKFkPzJaKxY (彰化縣二林鎮廣興國小)
anniversary (n),the elementary school is celebrating their school anniversary.,3v0HRtbi6eg,https://www.youtube.com/watch?v=3v0HRtbi6eg,彰化縣彰化市中山國小,104,changhua-city,387,DROP,dropped: same as CKFkPzJaKxY (彰化縣二林鎮廣興國小)
anniversary (n),the elementary school is celebrating their school anniversary.,NGEZnR2fqk8,https://www.youtube.com/watch?v=NGEZnR2fqk8,彰化縣北斗鎮萬來國小,113,beidou,199,DROP,dropped: same as CKFkPzJaKxY (彰化縣二林鎮廣興國小)
rollerblade (v),these students are practicing to rollerblade.,qtahoXQ-f3c,https://www.youtube.com/watch?v=qtahoXQ-f3c,彰化縣永靖鄉福興國小,24,yongjing,60,KEEP,kept: smallest school count (24 videos)
rollerblade (v),these students are practicing to rollerblade.,Af-ablmKEJE,https://www.youtube.com/watch?v=Af-ablmKEJE,彰化縣埔心鄉太平國小,34,puxin,40,DROP,dropped: same as qtahoXQ-f3c (彰化縣永靖鄉福興國小)
rollerblade (v),these students are practicing to rollerblade.,RlvezVvjpGI,https://www.youtube.com/watch?v=RlvezVvjpGI,彰化縣芬園鄉文德國小,38,fenyuan,48,DROP,dropped: same as qtahoXQ-f3c (彰化縣永靖鄉福興國小)
library (n),the students check out books at the library.,S78rxX6etrY,https://www.youtube.com/watch?v=S78rxX6etrY,彰化縣福興鄉永豐國小,60,fuxing,143,KEEP,kept: smallest school count (60 videos)
library (n),the students check out books at the library.,UKf5Ho3OTrk,https://www.youtube.com/watch?v=UKf5Ho3OTrk,彰化縣員林市饒明國小,83,yuanlin-city,164,DROP,dropped: same as S78rxX6etrY (彰化縣福興鄉永豐國小)
dentist (n),the dentist checks the students' teeth.,5TS_b2N1Rfg,https://www.youtube.com/watch?v=5TS_b2N1Rfg,彰化縣福興鄉育新國小,28,fuxing,143,KEEP,kept: smallest school count (28 videos)
dentist (n),the dentist checks the students' teeth.,0M-M8yrxKHc,https://www.youtube.com/watch?v=0M-M8yrxKHc,彰化縣福興鄉永豐國小,60,fuxing,143,DROP,dropped: same as 5TS_b2N1Rfg (彰化縣福興鄉育新國小)
seed (n),the students are planting bean seeds.,txLXjkD41pg,https://www.youtube.com/watch?v=txLXjkD41pg,彰化縣彰化市東芳國小,26,changhua-city,387,KEEP,kept: smallest school count (26 videos)
