group_keyword,group_sentence_1,video_id,youtube,school_zh,school_total_videos,township_slug,township_total_videos,decision,reason
jump rope,jump rope is a good way to stay active and healthy.,ay6umIYJjSk,https://www.youtube.com/watch?v=ay6umIYJjSk,彰化縣芳苑鄉後寮國小,2,fangyuan,213,KEEP,kept: smallest school count (2 videos)
jump rope,jump rope is a good way to stay active and healthy.,5HawhEpouRY,https://www.youtube.com/watch?v=5HawhEpouRY,彰化縣溪州鄉南州國小,3,xizhou,226,DROP,dropped: same as ay6umIYJjSk (彰化縣芳苑鄉後寮國小)
jump rope,jump rope is a good way to stay active and healthy.,7ljO3-5xF0Q,https://www.youtube.com/watch?v=7ljO3-5xF0Q,彰化縣鹿港鎮頂番國小,19,lukang,114,DROP,dropped: same as ay6umIYJjSk (彰化縣芳苑鄉後寮國小)
jump rope,jump rope is a good way to stay active and healthy.,lVQWaAEyg60,https://www.youtube.com/watch?v=lVQWaAEyg60,彰化縣北斗鎮螺陽國小,25,beidou,199,DROP,dropped: same as ay6umIYJjSk (彰化縣芳苑鄉後寮國小)
jump rope,jump rope is a good way to stay active and healthy.,4vKDOhR1oSA,https://www.youtube.com/watch?v=4vKDOhR1oSA,彰化縣溪州鄉水尾國小,43,xizhou,226,DROP,dropped: same as ay6umIYJjSk (彰化縣芳苑鄉後寮國小)
jump rope,jump rope is a good way to stay active and healthy.,c6x6Ug6lEOk,https://www.youtube.com/watch?v=c6x6Ug6lEOk,彰化縣田中鎮三潭國小,92,tianzhong,271,DROP,dropped: same as ay6umIYJjSk (彰化縣芳苑鄉後寮國小)
soccer,the students are working on their soccer skills on the field.,KhxKpaHsjT8,https://www.youtube.com/watch?v=KhxKpaHsjT8,彰化縣芳苑鄉後寮國小,2,fangyuan,213,KEEP,kept: smallest school count (2 videos)
soccer,the students are working on their soccer skills on the field.,UdQuQ95k-yU,https://www.youtube.com/watch?v=UdQuQ95k-yU,彰化縣大村鄉村東國小,35,dacun,49,DROP,dropped: same as KhxKpaHsjT8 (彰化縣芳苑鄉後寮國小)
homework,the students are quietly doing their homework in the classroom.,Cv_n3TUmviA,https://www.youtube.com/watch?v=Cv_n3TUmviA,彰化縣大城鄉西港國小,3,dacheng,3,KEEP,kept: smallest school count (3 videos)
homework,the students are quietly doing their homework in the classroom.,Y8d33gppbgE,https://www.youtube.com/watch?v=Y8d33gppbgE,彰化縣二林鎮二林國小,55,erlin,114,DROP,dropped: same as Cv_n3TUmviA (彰化縣大城鄉西港國小)
shoot,the students are practicing shooting the basketball.,-uUIihojNvs,https://www.youtube.com/watch?v=-uUIihojNvs,彰化縣大城鄉西港國小,3,dacheng,3,KEEP,kept: smallest school count (3 videos)
shoot,the students are practicing shooting the basketball.,qQmWVusi0gQ,https://www.youtube.com/watch?v=qQmWVusi0gQ,彰化縣彰化市大竹國小,18,changhua-city,387,DROP,dropped: same as -uUIihojNvs (彰化縣大城鄉西港國小)
jump rope competition,the students participate in a jump rope competition.,mh4-9O0hC3Q,https://www.youtube.com/watch?v=mh4-9O0hC3Q,彰化縣芳苑鄉王功國小,10,fangyuan,213,KEEP,kept: smallest school count (10 videos)
jump rope competition,the students participate in a jump rope competition.,ZG7LpZ909HI,https://www.youtube.com/watch?v=ZG7LpZ909HI,彰化縣溪州鄉成功國小,10,xizhou,226,DROP,dropped: same as mh4-9O0hC3Q (彰化縣芳苑鄉王功國小)
jump rope competition,the students participate in a jump rope competition.,Yx5N6kwAbRM,https://www.youtube.com/watch?v=Yx5N6kwAbRM,彰化縣田中鎮新民國小,58,tianzhong,271,DROP,dropped: same as mh4-9O0hC3Q (彰化縣芳苑鄉王功國小)
jump rope competition,the students participate in a jump rope competition.,CxuVgAgB9Z0,https://www.youtube.com/watch?v=CxuVgAgB9Z0,彰化縣社頭鄉湳雅國小,71,shetou,95,DROP,dropped: same as mh4-9O0hC3Q (彰化縣芳苑鄉王功國小)
jump rope competition,the students participate in a jump rope competition.,BA6_c1gQx3Q,https://www.youtube.com/watch?v=BA6_c1gQx3Q,彰化縣田中鎮明禮國小,80,tianzhong,271,DROP,dropped: same as mh4-9O0hC3Q (彰化縣芳苑鄉王功國小)
meeting,teachers and parents attend the class parent-teacher meeting for the new semester.,FhcjEMrmfXE,https://www.youtube.com/watch?v=FhcjEMrmfXE,彰化縣溪州鄉成功國小,10,xizhou,226,KEEP,kept: smallest school count (10 videos)
meeting,teachers and parents attend the class parent-teacher meeting for the new semester.,gK1EDBku6xM,https://www.youtube.com/watch?v=gK1EDBku6xM,彰化縣北斗鎮萬來國小,113,beidou,199,DROP,dropped: same as FhcjEMrmfXE (彰化縣溪州鄉成功國小)
swimming class,the students learn how to swim in swimming class.,kK7S5EzBJuk,https://www.youtube.com/watch?v=kK7S5EzBJuk,彰化縣溪州鄉成功國小,10,xizhou,226,KEEP,kept: smallest school count (10 videos)
swimming class,the students learn how to swim in swimming class.,ptxWmLN7rwQ,https://www.youtube.com/watch?v=ptxWmLN7rwQ,彰化縣彰化市國聖國小,19,changhua-city,387,DROP,dropped: same as kK7S5EzBJuk (彰化縣溪州鄉成功國小)
swimming class,the students learn how to swim in swimming class.,1Cl7xxmYI9M,https://www.youtube.com/watch?v=1Cl7xxmYI9M,彰化縣溪州鄉三條國小,20,xizhou,226,DROP,dropped: same as kK7S5EzBJuk (彰化縣溪州鄉成功國小)
swimming class,the students learn how to swim in swimming class.,TBmanfvoJMk,https://www.youtube.com/watch?v=TBmanfvoJMk,彰化縣竹塘鄉長安國小,23,zhutang,183,DROP,dropped: same as kK7S5EzBJuk (彰化縣溪州鄉成功國小)
swimming class,the students learn how to swim in swimming class.,xVV3wyaQpqQ,https://www.youtube.com/watch?v=xVV3wyaQpqQ,彰化縣永靖鄉福德國小,36,yongjing,60,DROP,dropped: same as kK7S5EzBJuk (彰化縣溪州鄉成功國小)
swimming class,the students learn how to swim in swimming class.,15G7FVigo_U,https://www.youtube.com/watch?v=15G7FVigo_U,彰化縣二林鎮廣興國小,37,erlin,114,DROP,dropped: same as kK7S5EzBJuk (彰化縣溪州鄉成功國小)
swimming class,the students learn how to swim in swimming class.,ZmUTOjjcZAU,https://www.youtube.com/watch?v=ZmUTOjjcZAU,彰化縣溪湖鎮湖西國小,38,xihu,40,DROP,dropped: same as kK7S5EzBJuk (彰化縣溪州鄉成功國小)
virtual reality,the students are doing virtual reality.,MVWarRuC0ng,https://www.youtube.com/watch?v=MVWarRuC0ng,彰化縣竹塘鄉長安國小,23,zhutang,183,KEEP,kept: smallest school count (23 videos)
virtual reality,the students are doing virtual reality.,xdeoSJpY51w,https://www.youtube.com/watch?v=xdeoSJpY51w,彰化縣二林鎮二林國小,55,erlin,114,DROP,dropped: same as MVWarRuC0ng (彰化縣竹塘鄉長安國小)
virtual reality,the students are doing virtual reality.,OGT727HyV0A,https://www.youtube.com/watch?v=OGT727HyV0A,彰化縣彰化市中山國小,104,changhua-city,387,DROP,dropped: same as MVWarRuC0ng (彰化縣竹塘鄉長安國小)
tea culture,"in tea culture, the host prepares tea for the guests.",fMb13aRTfYU,https://www.youtube.com/watch?v=fMb13aRTfYU,彰化縣花壇鄉文祥國小,7,huatan,27,KEEP,kept: smallest school count (7 videos)
tea culture,"in tea culture, the host prepares tea for the guests.",88x2OZQSAzg,https://www.youtube.com/watch?v=88x2OZQSAzg,彰化縣彰化市大竹國小,18,changhua-city,387,DROP,dropped: same as fMb13aRTfYU (彰化縣花壇鄉文祥國小)
tea culture,"in tea culture, the host prepares tea for the guests.",ooFvX9xaaSU,https://www.youtube.com/watch?v=ooFvX9xaaSU,彰化縣彰化市中山國小,104,changhua-city,387,DROP,dropped: same as fMb13aRTfYU (彰化縣花壇鄉文祥國小)
agriculture class,"in the agriculture class, students loosen the soil and mix in fertilizer.",4LdJyevUArs,https://www.youtube.com/watch?v=4LdJyevUArs,彰化縣彰化市快官國小,32,changhua-city,387,KEEP,kept: smallest school count (32 videos)
agriculture class,"in the agriculture class, students loosen the soil and mix in fertilizer.",0QPppzLf42E,https://www.youtube.com/watch?v=0QPppzLf42E,彰化縣溪州鄉水尾國小,43,xizhou,226,DROP,dropped: same as 4LdJyevUArs (彰化縣彰化市快官國小)
agriculture class,"in the agriculture class, students loosen the soil and mix in fertilizer.",ujRUPeI3-wI,https://www.youtube.com/watch?v=ujRUPeI3-wI,彰化縣彰化市大成國小,48,changhua-city,387,DROP,dropped: same as 4LdJyevUArs (彰化縣彰化市快官國小)
agriculture class,"in the agriculture class, students loosen the soil and mix in fertilizer.",NSkWk7y8uEM,https://www.youtube.com/watch?v=NSkWk7y8uEM,彰化縣溪州鄉溪州國小,61,xizhou,226,DROP,dropped: same as 4LdJyevUArs (彰化縣彰化市快官國小)
midterm exams,"midterm exams are exams given around the midpoint of a grading term, such as a quarter or semester.",rl2LSCHXMek,https://www.youtube.com/watch?v=rl2LSCHXMek,彰化縣伸港鄉新港國小,44,shenkang,149,KEEP,kept: smallest school count (44 videos)
midterm exams,"midterm exams are exams given around the midpoint of a grading term, such as a quarter or semester.",Tb3vK1eAQPM,https://www.youtube.com/watch?v=Tb3vK1eAQPM,彰化縣北斗鎮萬來國小,113,beidou,199,DROP,dropped: same as rl2LSCHXMek (彰化縣伸港鄉新港國小)
midterm exams,"midterm exams are exams given around the midpoint of a grading term, such as a quarter or semester.",cy0IDfmZ7gE,https://www.youtube.com/watch?v=cy0IDfmZ7gE,彰化縣芳苑鄉路上國小,129,fangyuan,213,DROP,dropped: same as rl2LSCHXMek (彰化縣伸港鄉新港國小)
computer class,the students learn how to use computers in computer class.,CARKzqE8Nos,https://www.youtube.com/watch?v=CARKzqE8Nos,彰化縣伸港鄉大同國小,105,shenkang,149,KEEP,kept: smallest school count (105 videos)
computer class,the students learn how to use computers in computer class.,BU9Bk4pMPmM,https://www.youtube.com/watch?v=BU9Bk4pMPmM,彰化縣北斗鎮萬來國小,113,beidou,199,DROP,dropped: same as CARKzqE8Nos (彰化縣伸港鄉大同國小)
chinese class,the students are in chinese class.,zCiOYV8l7jg,https://www.youtube.com/watch?v=zCiOYV8l7jg,彰化縣彰化市聯興國小,17,changhua-city,387,KEEP,kept: smallest school count (17 videos)
chinese class,the students are in chinese class.,UrrANl9yiKU,https://www.youtube.com/watch?v=UrrANl9yiKU,彰化縣田中鎮田中國小,24,tianzhong,271,DROP,dropped: same as zCiOYV8l7jg (彰化縣彰化市聯興國小)
chinese class,the students are in chinese class.,C512bYm1Ckg,https://www.youtube.com/watch?v=C512bYm1Ckg,彰化縣竹塘鄉田頭國小,25,zhutang,183,DROP,dropped: same as zCiOYV8l7jg (彰化縣彰化市聯興國小)
chinese class,the students are in chinese class.,wwxcqNRI9H0,https://www.youtube.com/watch?v=wwxcqNRI9H0,彰化縣二水鄉二水國小,40,ershui,91,DROP,dropped: same as zCiOYV8l7jg (彰化縣彰化市聯興國小)
chinese class,the students are in chinese class.,L7OW4WBLG7c,https://www.youtube.com/watch?v=L7OW4WBLG7c,彰化縣溪州鄉水尾國小,43,xizhou,226,DROP,dropped: same as zCiOYV8l7jg (彰化縣彰化市聯興國小)
chinese class,the students are in chinese class.,sMo42R_Dwog,https://www.youtube.com/watch?v=sMo42R_Dwog,彰化縣田中鎮新民國小,58,tianzhong,271,DROP,dropped: same as zCiOYV8l7jg (彰化縣彰化市聯興國小)
chinese class,the students are in chinese class.,7Bh0SnJrL1M,https://www.youtube.com/watch?v=7Bh0SnJrL1M,彰化縣福興鄉永豐國小,60,fuxing,143,DROP,dropped: same as zCiOYV8l7jg (彰化縣彰化市聯興國小)
chinese class,the students are in chinese class.,hgFGmNy-qV8,https://www.youtube.com/watch?v=hgFGmNy-qV8,彰化縣福興鄉永豐國小,60,fuxing,143,DROP,dropped: same as zCiOYV8l7jg (彰化縣彰化市聯興國小)
chinese class,the students are in chinese class.,iWpT7ofpdUA,https://www.youtube.com/watch?v=iWpT7ofpdUA,彰化縣福興鄉永豐國小,60,fuxing,143,DROP,dropped: same as zCiOYV8l7jg (彰化縣彰化市聯興國小)
chinese class,the students are in chinese class.,l353sb96Zxo,https://www.youtube.com/watch?v=l353sb96Zxo,彰化縣竹塘鄉竹塘國小,100,zhutang,183,DROP,dropped: same as zCiOYV8l7jg (彰化縣彰化市聯興國小)
mobile library,the mobile library is a truck that's been converted into a small library.,TlPW30YyYI8,https://www.youtube.com/watch?v=TlPW30YyYI8,彰化縣花壇鄉文祥國小,7,huatan,27,KEEP,kept: smallest school count (7 videos)
mobile library,the mobile library is a truck that's been converted into a small library.,bBsRv7FspDM,https://www.youtube.com/watch?v=bBsRv7FspDM,彰化縣鹿港鎮文開國小,16,lukang,114,DROP,dropped: same as TlPW30YyYI8 (彰化縣花壇鄉文祥國小)
mobile library,the mobile library is a truck that's been converted into a small library.,IS-pcd5fQiE,https://www.youtube.com/watch?v=IS-pcd5fQiE,彰化縣彰化市大竹國小,18,changhua-city,387,DROP,dropped: same as TlPW30YyYI8 (彰化縣花壇鄉文祥國小)
mobile library,the mobile library is a truck that's been converted into a small library.,1FadeuLgov4,https://www.youtube.com/watch?v=1FadeuLgov4,彰化縣田尾鄉仁豐國小,20,tianwei,21,DROP,dropped: same as TlPW30YyYI8 (彰化縣花壇鄉文祥國小)
mobile library,the mobile library is a truck that's been converted into a small library.,0oT6eWn7Sbo,https://www.youtube.com/watch?v=0oT6eWn7Sbo,彰化縣竹塘鄉田頭國小,25,zhutang,183,DROP,dropped: same as TlPW30YyYI8 (彰化縣花壇鄉文祥國小)
mobile library,the mobile library is a truck that's been converted into a small library.,NJIZI7vuaEQ,https://www.youtube.com/watch?v=NJIZI7vuaEQ,彰化縣溪州鄉水尾國小,43,xizhou,226,DROP,dropped: same as TlPW30YyYI8 (彰化縣花壇鄉文祥國小)
mobile library,the mobile library is a truck that's been converted into a small library.,p17sZ_NjkRM,https://www.youtube.com/watch?v=p17sZ_NjkRM,彰化縣二林鎮二林國小,55,erlin,114,DROP,dropped: same as TlPW30YyYI8 (彰化縣花壇鄉文祥國小)
mobile library,the mobile library is a truck that's been converted into a small library.,ij87V_vuaZc,https://www.youtube.com/watch?v=ij87V_vuaZc,彰化縣田中鎮三潭國小,92,tianzhong,271,DROP,dropped: same as TlPW30YyYI8 (彰化縣花壇鄉文祥國小)
mobile library,the mobile library is a truck that's been converted into a small library.,sPs2S61njlE,https://www.youtube.com/watch?v=sPs2S61njlE,彰化縣竹塘鄉竹塘國小,100,zhutang,183,DROP,dropped: same as TlPW30YyYI8 (彰化縣花壇鄉文祥國小)
modelling clay,you can use modelling clay to make your very own artwork.,prLzQGPbk2I,https://www.youtube.com/watch?v=prLzQGPbk2I,彰化縣埤頭鄉合興國小,13,pitou,112,KEEP,kept: smallest school count (13 videos)
modelling clay,you can use modelling clay to make your very own artwork.,Mfi0en7GiXc,https://www.youtube.com/watch?v=Mfi0en7GiXc,彰化縣社頭鄉朝興國小,24,shetou,95,DROP,dropped: same as prLzQGPbk2I (彰化縣埤頭鄉合興國小)
modelling clay,you can use modelling clay to make your very own artwork.,fUBDCOdBVQg,https://www.youtube.com/watch?v=fUBDCOdBVQg,彰化縣田中鎮田中國小,24,tianzhong,271,DROP,dropped: same as prLzQGPbk2I (彰化縣埤頭鄉合興國小)
modelling clay,you can use modelling clay to make your very own artwork.,1PplXg6mS9s,https://www.youtube.com/watch?v=1PplXg6mS9s,彰化縣二林鎮二林國小,55,erlin,114,DROP,dropped: same as prLzQGPbk2I (彰化縣埤頭鄉合興國小)
puffed rice,the students watch puffed rice being made.,vMKh777BK1Y,https://www.youtube.com/watch?v=vMKh777BK1Y,彰化縣員林市育英國小,66,yuanlin-city,164,KEEP,kept: smallest school count (66 videos)
puffed rice,the students watch puffed rice being made.,V4R57WkQpjo,https://www.youtube.com/watch?v=V4R57WkQpjo,彰化縣彰化市中山國小,104,changhua-city,387,DROP,dropped: same as vMKh777BK1Y (彰化縣員林市育英國小)
puffed rice,the students watch puffed rice being made.,G6uvmCR25Ak,https://www.youtube.com/watch?v=G6uvmCR25Ak,彰化縣伸港鄉大同國小,105,shenkang,149,DROP,dropped: same as vMKh777BK1Y (彰化縣員林市育英國小)
math,the students are solving math problems.,IORY28exZ7k,https://www.youtube.com/watch?v=IORY28exZ7k,彰化縣竹塘鄉田頭國小,25,zhutang,183,KEEP,kept: smallest school count (25 videos)
math,the students are solving math problems.,OMcVOAlaIwg,https://www.youtube.com/watch?v=OMcVOAlaIwg,彰化縣溪州鄉水尾國小,43,xizhou,226,DROP,dropped: same as IORY28exZ7k (彰化縣竹塘鄉田頭國小)
hiv aids,students go to the auditorium to learn about hiv/aids.,VhppzfCS9rY,https://www.youtube.com/watch?v=VhppzfCS9rY,彰化縣溪州鄉水尾國小,43,xizhou,226,KEEP,kept: smallest school count (43 videos)
hiv aids,students go to the auditorium to learn about hiv/aids.,gXswsPUZjI4,https://www.youtube.com/watch?v=gXswsPUZjI4,彰化縣芳苑鄉路上國小,129,fangyuan,213,DROP,dropped: same as VhppzfCS9rY (彰化縣溪州鄉水尾國小)
soccer ball,the students learn how to dribble a soccer ball.,CqcF1LBSQ_w,https://www.youtube.com/watch?v=CqcF1LBSQ_w,彰化縣芬園鄉同安國小,10,fenyuan,48,KEEP,kept: smallest school count (10 videos)
soccer ball,the students learn how to dribble a soccer ball.,KtIkgu1jMhY,https://www.youtube.com/watch?v=KtIkgu1jMhY,彰化縣溪州鄉水尾國小,43,xizhou,226,DROP,dropped: same as CqcF1LBSQ_w (彰化縣芬園鄉同安國小)
soccer ball,the students learn how to dribble a soccer ball.,UMfTGeKoduM,https://www.youtube.com/watch?v=UMfTGeKoduM,彰化縣彰化市大成國小,48,changhua-city,387,DROP,dropped: same as CqcF1LBSQ_w (彰化縣芬園鄉同安國小)
serve,"during school lunch, students are served food or serve themselves.",HEe9JzorYkM,https://www.youtube.com/watch?v=HEe9JzorYkM,彰化縣彰化市平和國小,30,changhua-city,387,KEEP,kept: smallest school count (30 videos)
serve,"during school lunch, students are served food or serve themselves.",lZmr0nQz7q4,https://www.youtube.com/watch?v=lZmr0nQz7q4,彰化縣彰化市大成國小,48,changhua-city,387,DROP,dropped: same as HEe9JzorYkM (彰化縣彰化市平和國小)
recorder,the recorder is the first musical instrument that many students learn.,rCqTqUNRx6I,https://www.youtube.com/watch?v=rCqTqUNRx6I,彰化縣竹塘鄉長安國小,23,zhutang,183,KEEP,kept: smallest school count (23 videos)
recorder,the recorder is the first musical instrument that many students learn.,nkQu5GyNBrE,https://www.youtube.com/watch?v=nkQu5GyNBrE,彰化縣永靖鄉福興國小,24,yongjing,60,DROP,dropped: same as rCqTqUNRx6I (彰化縣竹塘鄉長安國小)
recorder,the recorder is the first musical instrument that many students learn.,3tdyQH5x3DY,https://www.youtube.com/watch?v=3tdyQH5x3DY,彰化縣竹塘鄉田頭國小,25,zhutang,183,DROP,dropped: same as rCqTqUNRx6I (彰化縣竹塘鄉長安國小)
recorder,the recorder is the first musical instrument that many students learn.,Wryx9BVlkho,https://www.youtube.com/watch?v=Wryx9BVlkho,彰化縣彰化市大成國小,48,changhua-city,387,DROP,dropped: same as rCqTqUNRx6I (彰化縣竹塘鄉長安國小)
violin,the students practice the violin in class.,9Vk59yuc0W8,https://www.youtube.com/watch?v=9Vk59yuc0W8,彰化縣芬園鄉同安國小,10,fenyuan,48,KEEP,kept: smallest school count (10 videos)
violin,the students practice the violin in class.,I30rtGLTlbE,https://www.youtube.com/watch?v=I30rtGLTlbE,彰化縣竹塘鄉長安國小,23,zhutang,183,DROP,dropped: same as 9Vk59yuc0W8 (彰化縣芬園鄉同安國小)
first grader,the school organized activities to help first graders and their parents get to know the school better.,TYiuKBdF764,https://www.youtube.com/watch?v=TYiuKBdF764,彰化縣竹塘鄉長安國小,23,zhutang,183,KEEP,kept: smallest school count (23 videos)
first grader,the school organized activities to help first graders and their parents get to know the school better.,LIxZ7gMDzMI,https://www.youtube.com/watch?v=LIxZ7gMDzMI,彰化縣埔心鄉太平國小,34,puxin,40,DROP,dropped: same as TYiuKBdF764 (彰化縣竹塘鄉長安國小)
first grader,the school organized activities to help first graders and their parents get to know the school better.,eSlMZWYAC8g,https://www.youtube.com/watch?v=eSlMZWYAC8g,彰化縣大村鄉村東國小,35,dacun,49,DROP,dropped: same as TYiuKBdF764 (彰化縣竹塘鄉長安國小)
mother's day card,these students are making mother's day cards for their mothers.,LIezFbbFrsE,https://www.youtube.com/watch?v=LIezFbbFrsE,彰化縣大村鄉村東國小,35,dacun,49,KEEP,kept: smallest school count (35 videos)
mother's day card,these students are making mother's day cards for their mothers.,8KmdtQmL6Xo,https://www.youtube.com/watch?v=8KmdtQmL6Xo,彰化縣員林市饒明國小,83,yuanlin-city,164,DROP,dropped: same as LIezFbbFrsE (彰化縣大村鄉村東國小)
reading,look at the students: they’re all reading quietly.,J5NJDp-4RG4,https://www.youtube.com/watch?v=J5NJDp-4RG4,彰化縣彰化市信義國中小,18,changhua-city,387,KEEP,kept: smallest school count (18 videos)
reading,look at the students: they’re all reading quietly.,2WWJ08PKzAU,https://www.youtube.com/watch?v=2WWJ08PKzAU,彰化縣社頭鄉朝興國小,24,shetou,95,DROP,dropped: same as J5NJDp-4RG4 (彰化縣彰化市信義國中小)
reading,look at the students: they’re all reading quietly.,HerAf4NsA8c,https://www.youtube.com/watch?v=HerAf4NsA8c,彰化縣大村鄉村東國小,35,dacun,49,DROP,dropped: same as J5NJDp-4RG4 (彰化縣彰化市信義國中小)
reading,look at the students: they’re all reading quietly.,zf2txknP5gY,https://www.youtube.com/watch?v=zf2txknP5gY,彰化縣溪州鄉溪州國小,61,xizhou,226,DROP,dropped: same as J5NJDp-4RG4 (彰化縣彰化市信義國中小)
reading,look at the students: they’re all reading quietly.,AZ9V5q6myxQ,https://www.youtube.com/watch?v=AZ9V5q6myxQ,彰化縣田中鎮三潭國小,92,tianzhong,271,DROP,dropped: same as J5NJDp-4RG4 (彰化縣彰化市信義國中小)
reading,look at the students: they’re all reading quietly.,k31cbrFBEzk,https://www.youtube.com/watch?v=k31cbrFBEzk,彰化縣竹塘鄉竹塘國小,100,zhutang,183,DROP,dropped: same as J5NJDp-4RG4 (彰化縣彰化市信義國中小)
reading activity,the students do a reading activity in class.,kLQgA1MSlVc,https://www.youtube.com/watch?v=kLQgA1MSlVc,彰化縣大村鄉村東國小,35,dacun,49,KEEP,kept: smallest school count (35 videos)
reading activity,the students do a reading activity in class.,nKNCNe0kEIE,https://www.youtube.com/watch?v=nKNCNe0kEIE,彰化縣芳苑鄉芳苑國小,46,fangyuan,213,DROP,dropped: same as kLQgA1MSlVc (彰化縣大村鄉村東國小)
jump rope,the kids jump rope to get some exercise.,XO8Zsllcx4w,https://www.youtube.com/watch?v=XO8Zsllcx4w,彰化縣溪州鄉南州國小,3,xizhou,226,KEEP,kept: smallest school count (3 videos)
jump rope,the kids jump rope to get some exercise.,HzNTAPOAXw0,https://www.youtube.com/watch?v=HzNTAPOAXw0,彰化縣田中鎮大安國小,17,tianzhong,271,DROP,dropped: same as XO8Zsllcx4w (彰化縣溪州鄉南州國小)
jump rope,the kids jump rope to get some exercise.,8S-HEjc647c,https://www.youtube.com/watch?v=8S-HEjc647c,彰化縣永靖鄉福興國小,24,yongjing,60,DROP,dropped: same as XO8Zsllcx4w (彰化縣溪州鄉南州國小)
jump rope,the kids jump rope to get some exercise.,bv268AlW5m4,https://www.youtube.com/watch?v=bv268AlW5m4,彰化縣二林鎮廣興國小,37,erlin,114,DROP,dropped: same as XO8Zsllcx4w (彰化縣溪州鄉南州國小)
jump rope,the kids jump rope to get some exercise.,2-TKfmJ1r7A,https://www.youtube.com/watch?v=2-TKfmJ1r7A,彰化縣溪湖鎮湖西國小,38,xihu,40,DROP,dropped: same as XO8Zsllcx4w (彰化縣溪州鄉南州國小)
space science,the students attend a fun talk about space science in the auditorium.,vpjhJSOoFFA,https://www.youtube.com/watch?v=vpjhJSOoFFA,彰化縣彰化市快官國小,32,changhua-city,387,KEEP,kept: smallest school count (32 videos)
space science,the students attend a fun talk about space science in the auditorium.,WyFu7RlnUrQ,https://www.youtube.com/watch?v=WyFu7RlnUrQ,彰化縣彰化市大成國小,48,changhua-city,387,DROP,dropped: same as vpjhJSOoFFA (彰化縣彰化市快官國小)
study hall,the students are diligently studying in study hall.,XNXVr8bvkcY,https://www.youtube.com/watch?v=XNXVr8bvkcY,彰化縣永靖鄉福德國小,36,yongjing,60,KEEP,kept: smallest school count (36 videos)
study hall,the students are diligently studying in study hall.,ac1YG5G6ktU,https://www.youtube.com/watch?v=ac1YG5G6ktU,彰化縣芬園鄉文德國小,38,fenyuan,48,DROP,dropped: same as XNXVr8bvkcY (彰化縣永靖鄉福德國小)
study hall,the students are diligently studying in study hall.,gDSUKSzOhpY,https://www.youtube.com/watch?v=gDSUKSzOhpY,彰化縣北斗鎮萬來國小,113,beidou,199,DROP,dropped: same as XNXVr8bvkcY (彰化縣永靖鄉福德國小)
dance performance,the students perform their dance performance.,2PpBopXcjeU,https://www.youtube.com/watch?v=2PpBopXcjeU,彰化縣田中鎮大安國小,17,tianzhong,271,KEEP,kept: smallest school count (17 videos)
dance performance,the students perform their dance performance.,WKsl-PXKmqA,https://www.youtube.com/watch?v=WKsl-PXKmqA,彰化縣溪州鄉水尾國小,43,xizhou,226,DROP,dropped: same as 2PpBopXcjeU (彰化縣田中鎮大安國小)
dance performance,the students perform their dance performance.,_FjOZ5tSh0I,https://www.youtube.com/watch?v=_FjOZ5tSh0I,彰化縣員林市饒明國小,83,yuanlin-city,164,DROP,dropped: same as 2PpBopXcjeU (彰化縣田中鎮大安國小)
fitness test,the students are practicing for their fitness test.,enZ4Zlce5yQ,https://www.youtube.com/watch?v=enZ4Zlce5yQ,彰化縣溪州鄉水尾國小,43,xizhou,226,KEEP,kept: smallest school count (43 videos)
fitness test,the students are practicing for their fitness test.,Mk_u5QmkSww,https://www.youtube.com/watch?v=Mk_u5QmkSww,彰化縣員林市饒明國小,83,yuanlin-city,164,DROP,dropped: same as enZ4Zlce5yQ (彰化縣溪州鄉水尾國小)
rollerblade,these students are practicing to rollerblade.,6b6ao2mwaKI,https://www.youtube.com/watch?v=6b6ao2mwaKI,彰化縣竹塘鄉田頭國小,25,zhutang,183,KEEP,kept: smallest school count (25 videos)
rollerblade,these students are practicing to rollerblade.,_XEtRIii_EI,https://www.youtube.com/watch?v=_XEtRIii_EI,彰化縣員林市饒明國小,83,yuanlin-city,164,DROP,dropped: same as 6b6ao2mwaKI (彰化縣竹塘鄉田頭國小)
rollerblade,these students are practicing to rollerblade.,Sng8aqvRqng,https://www.youtube.com/watch?v=Sng8aqvRqng,彰化縣北斗鎮萬來國小,113,beidou,199,DROP,dropped: same as 6b6ao2mwaKI (彰化縣竹塘鄉田頭國小)
taiko drum,the students practice the taiko drum.,d-cAtdmknMg,https://www.youtube.com/watch?v=d-cAtdmknMg,彰化縣溪州鄉南州國小,3,xizhou,226,KEEP,kept: smallest school count (3 videos)
taiko drum,the students practice the taiko drum.,t15paeE07TQ,https://www.youtube.com/watch?v=t15paeE07TQ,彰化縣溪州鄉三條國小,20,xizhou,226,DROP,dropped: same as d-cAtdmknMg (彰化縣溪州鄉南州國小)
taiko drum,the students practice the taiko drum.,pIP35eMMVaM,https://www.youtube.com/watch?v=pIP35eMMVaM,彰化縣竹塘鄉長安國小,23,zhutang,183,DROP,dropped: same as d-cAtdmknMg (彰化縣溪州鄉南州國小)
taiko drum,the students practice the taiko drum.,JD0wNFq25Co,https://www.youtube.com/watch?v=JD0wNFq25Co,彰化縣二水鄉二水國小,40,ershui,91,DROP,dropped: same as d-cAtdmknMg (彰化縣溪州鄉南州國小)
